"TIME","ZETA","EFT","SEQ","SEQF","OMEGAK","FU","ESS","AS","LS","Z1","Z2","OMEGAA","DEN","MD","SP","NAME","ITEST"
"1",0,0,0,0,0,0,0,0,-3450000,-3450000,0,0,0,0.7287,0,0,"BEAN","SC1B"
"2",100,0,0,0,0,0,0,0,-4140000,-3450000,0.0002222,-0.0008915,0,0.729,0,0,"BEAN","SC1B"
"3",200,0.001541,0.3157,5682000,39550000,0.2308,6.868,2.627e-06,-4140000,-3450000,-0.0008347,-0.002881,5.948,0.732,1.804e-05,9.288e-06,"BEAN","SC1B"
"4",305,0.002701,0.2922,5681000,38550000,0.2308,7.353,1.738e-06,-4140000,-3450000,-0.001704,-0.004511,5.87,0.7345,1.278e-05,8.598e-06,"BEAN","SC1B"
"5",415.2,0.00362,0.2732,5681000,37690000,0.2308,7.786,1.229e-06,-4140000,-3450000,-0.002458,-0.00592,5.804,0.7366,9.57e-06,8.041e-06,"BEAN","SC1B"
"6",511.7,0.004309,0.259,5681000,37030000,0.2308,8.135,9.421e-07,-4140000,-3450000,-0.003053,-0.007031,5.752,0.7383,7.664e-06,7.627e-06,"BEAN","SC1B"
"7",600.3,0.004851,0.2477,5680000,36480000,0.2308,8.43,7.591e-07,-4140000,-3450000,-0.00355,-0.007955,5.708,0.7398,6.399e-06,7.299e-06,"BEAN","SC1B"
"8",703.5,0.005379,0.2364,5680000,35910000,0.2308,8.741,6.093e-07,-4140000,-3450000,-0.004068,-0.008918,5.663,0.7412,5.326e-06,6.97e-06,"BEAN","SC1B"
"9",801.4,0.005804,0.227,5680000,35430000,0.2308,9.013,5.065e-07,-4140000,-3450000,-0.004514,-0.009747,5.624,0.7425,4.565e-06,6.7e-06,"BEAN","SC1B"
"10",906.7,0.006198,0.2181,5680000,34960000,0.2308,9.283,4.238e-07,-4140000,-3450000,-0.004956,-0.01056,5.586,0.7438,3.934e-06,6.442e-06,"BEAN","SC1B"
"11",1002,0.00651,0.2108,5679000,34570000,0.2308,9.512,3.66e-07,-4140000,-3450000,-0.005328,-0.01125,5.554,0.7448,3.481e-06,6.233e-06,"BEAN","SC1B"
"12",1111,0.006827,0.2033,5679000,34150000,0.2308,9.758,3.139e-07,-4140000,-3450000,-0.005726,-0.01199,5.52,0.746,3.063e-06,6.017e-06,"BEAN","SC1B"
"13",1218,0.007101,0.1966,5679000,33780000,0.2308,9.983,2.736e-07,-4140000,-3450000,-0.006091,-0.01266,5.489,0.747,2.732e-06,5.825e-06,"BEAN","SC1B"
"14",1316,0.00733,0.1909,5679000,33450000,0.2308,10.18,2.431e-07,-4140000,-3450000,-0.006411,-0.01325,5.462,0.748,2.475e-06,5.662e-06,"BEAN","SC1B"
"15",1403,0.007513,0.1862,5679000,33170000,0.2308,10.35,2.206e-07,-4140000,-3450000,-0.00668,-0.01374,5.439,0.7487,2.283e-06,5.529e-06,"BEAN","SC1B"
"16",1521,0.007743,0.1803,5678000,32820000,0.2308,10.56,1.949e-07,-4140000,-3450000,-0.007031,-0.01439,5.409,0.7497,2.058e-06,5.36e-06,"BEAN","SC1B"
"17",1625,0.007926,0.1755,5678000,32520000,0.2308,10.74,1.76e-07,-4140000,-3450000,-0.007324,-0.01492,5.385,0.7506,1.89e-06,5.222e-06,"BEAN","SC1B"
"18",1708,0.008063,0.1718,5678000,32290000,0.2308,10.88,1.629e-07,-4140000,-3450000,-0.007552,-0.01534,5.365,0.7512,1.771e-06,5.118e-06,"BEAN","SC1B"
"19",1828,0.008245,0.1669,5678000,31980000,0.2308,11.06,1.466e-07,-4140000,-3450000,-0.007867,-0.01592,5.339,0.7521,1.622e-06,4.977e-06,"BEAN","SC1B"
"20",1924,0.008382,0.1632,5678000,31740000,0.2308,11.21,1.353e-07,-4140000,-3450000,-0.008111,-0.01636,5.319,0.7528,1.517e-06,4.87e-06,"BEAN","SC1B"
"21",2030,0.008522,0.1598,5678000,31520000,0.2308,11.33,1.26e-07,-4140000,-3450000,-0.008333,-0.01677,5.3,0.7535,1.427e-06,3.866e-06,"BEAN","SC1B"
"22",2109,0.008622,0.1574,5678000,31370000,0.2308,11.42,1.196e-07,-4140000,-3450000,-0.008495,-0.01706,5.286,0.7539,1.366e-06,3.807e-06,"BEAN","SC1B"
"23",2241,0.008779,0.1536,5678000,31110000,0.2308,11.56,1.102e-07,-4140000,-3450000,-0.008757,-0.01754,5.265,0.7547,1.273e-06,3.713e-06,"BEAN","SC1B"
"24",2335,0.008884,0.1511,5677000,30940000,0.2308,11.65,1.042e-07,-4140000,-3450000,-0.008937,-0.01787,5.25,0.7552,1.214e-06,3.65e-06,"BEAN","SC1B"
"25",2433,0.008989,0.1485,5677000,30760000,0.2308,11.74,9.857e-08,-4140000,-3450000,-0.009121,-0.0182,5.234,0.7558,1.157e-06,3.587e-06,"BEAN","SC1B"
"26",2535,0.009093,0.1459,5677000,30580000,0.2308,11.83,9.318e-08,-4140000,-3450000,-0.009308,-0.01854,5.219,0.7563,1.103e-06,3.524e-06,"BEAN","SC1B"
"27",2641,0.009197,0.1433,5677000,30400000,0.2308,11.93,8.805e-08,-4140000,-3450000,-0.009499,-0.01889,5.203,0.7568,1.05e-06,3.46e-06,"BEAN","SC1B"
"28",2753,0.009301,0.1407,5677000,30220000,0.2308,12.02,8.317e-08,-4140000,-3450000,-0.009693,-0.01924,5.187,0.7574,9.997e-07,3.396e-06,"BEAN","SC1B"
"29",2811,0.009352,0.1394,5677000,30120000,0.2308,12.07,8.082e-08,-4140000,-3450000,-0.009792,-0.01942,5.179,0.7577,9.751e-07,3.365e-06,"BEAN","SC1B"
"30",2931,0.009455,0.1368,5677000,29930000,0.2308,12.16,7.63e-08,-4140000,-3450000,-0.009993,-0.01979,5.162,0.7583,9.275e-07,3.301e-06,"BEAN","SC1B"
"31",3056,0.009558,0.1342,5677000,29740000,0.2308,12.25,7.201e-08,-4140000,-3450000,-0.0102,-0.02016,5.146,0.7589,8.818e-07,3.237e-06,"BEAN","SC1B"
"32",3121,0.009609,0.1329,5677000,29640000,0.2308,12.29,6.995e-08,-4140000,-3450000,-0.0103,-0.02034,5.137,0.7592,8.596e-07,3.205e-06,"BEAN","SC1B"
"33",3255,0.009711,0.1303,5677000,29450000,0.2308,12.38,6.598e-08,-4140000,-3450000,-0.01051,-0.02073,5.12,0.7598,8.166e-07,3.141e-06,"BEAN","SC1B"
"34",3324,0.009762,0.129,5677000,29350000,0.2308,12.42,6.408e-08,-4140000,-3450000,-0.01062,-0.02092,5.111,0.7601,7.957e-07,3.109e-06,"BEAN","SC1B"
"35",3468,0.009863,0.1264,5676000,29150000,0.2308,12.5,6.041e-08,-4140000,-3450000,-0.01084,-0.02131,5.093,0.7607,7.552e-07,3.046e-06,"BEAN","SC1B"
"36",3543,0.009914,0.1251,5676000,29050000,0.2308,12.54,5.866e-08,-4140000,-3450000,-0.01095,-0.02151,5.084,0.761,7.356e-07,3.014e-06,"BEAN","SC1B"
"37",3619,0.009964,0.1237,5676000,28950000,0.2308,12.58,5.694e-08,-4140000,-3450000,-0.01106,-0.02171,5.075,0.7614,7.164e-07,2.982e-06,"BEAN","SC1B"
"38",3777,0.01006,0.1211,5676000,28740000,0.2308,12.66,5.366e-08,-4140000,-3450000,-0.01128,-0.02212,5.057,0.762,6.791e-07,2.918e-06,"BEAN","SC1B"
"39",3859,0.01011,0.1198,5676000,28640000,0.2308,12.69,5.208e-08,-4140000,-3450000,-0.0114,-0.02233,5.047,0.7623,6.611e-07,2.886e-06,"BEAN","SC1B"
"40",3942,0.01016,0.1185,5676000,28530000,0.2308,12.73,5.054e-08,-4140000,-3450000,-0.01151,-0.02254,5.038,0.7627,6.434e-07,2.855e-06,"BEAN","SC1B"
"41",4028,0.01021,0.1172,5676000,28430000,0.2308,12.76,4.905e-08,-4140000,-3450000,-0.01163,-0.02275,5.028,0.763,6.26e-07,2.823e-06,"BEAN","SC1B"
"42",4116,0.01026,0.1159,5676000,28320000,0.2308,12.8,4.759e-08,-4140000,-3450000,-0.01175,-0.02296,5.019,0.7634,6.091e-07,2.791e-06,"BEAN","SC1B"
"43",4206,0.01031,0.1146,5676000,28210000,0.2308,12.83,4.618e-08,-4140000,-3450000,-0.01187,-0.02317,5.009,0.7637,5.924e-07,2.759e-06,"BEAN","SC1B"
"44",4393,0.01041,0.1119,5676000,27990000,0.2308,12.89,4.347e-08,-4140000,-3450000,-0.01211,-0.02361,4.99,0.7644,5.602e-07,2.696e-06,"BEAN","SC1B"
"45",4490,0.01046,0.1106,5676000,27890000,0.2308,12.92,4.216e-08,-4140000,-3450000,-0.01224,-0.02383,4.98,0.7648,5.446e-07,2.665e-06,"BEAN","SC1B"
"46",4589,0.01051,0.1093,5676000,27780000,0.2308,12.94,4.09e-08,-4140000,-3450000,-0.01236,-0.02405,4.97,0.7651,5.293e-07,2.633e-06,"BEAN","SC1B"
"47",4691,0.01055,0.108,5676000,27660000,0.2308,12.97,3.967e-08,-4140000,-3450000,-0.01248,-0.02428,4.96,0.7655,5.143e-07,2.602e-06,"BEAN","SC1B"
"48",4795,0.0106,0.1067,5676000,27550000,0.2308,12.99,3.847e-08,-4140000,-3450000,-0.01261,-0.02451,4.949,0.7659,4.996e-07,2.57e-06,"BEAN","SC1B"
"49",4902,0.01065,0.1054,5675000,27440000,0.2308,13.01,3.73e-08,-4140000,-3450000,-0.01274,-0.02474,4.939,0.7662,4.853e-07,2.539e-06,"BEAN","SC1B"
"50",5011,0.0107,0.1041,5675000,27330000,0.2308,13.03,3.617e-08,-4140000,-3450000,-0.01287,-0.02497,4.929,0.7666,4.712e-07,2.508e-06,"BEAN","SC1B"
"51",5123,0.01075,0.1028,5675000,27210000,0.2308,13.04,3.507e-08,-4140000,-3450000,-0.013,-0.0252,4.918,0.767,4.574e-07,2.477e-06,"BEAN","SC1B"
"52",5239,0.01079,0.1015,5675000,27100000,0.2308,13.06,3.4e-08,-4140000,-3450000,-0.01313,-0.02544,4.908,0.7674,4.439e-07,2.446e-06,"BEAN","SC1B"
"53",5357,0.01084,0.1002,5675000,26980000,0.2308,13.07,3.296e-08,-4140000,-3450000,-0.01326,-0.02568,4.897,0.7678,4.307e-07,2.415e-06,"BEAN","SC1B"
"54",5478,0.01089,0.09894,5675000,26870000,0.2308,13.08,3.195e-08,-4140000,-3450000,-0.0134,-0.02592,4.886,0.7681,4.177e-07,2.384e-06,"BEAN","SC1B"
"55",5602,0.01093,0.09765,5675000,26750000,0.2308,13.08,3.096e-08,-4140000,-3450000,-0.01353,-0.02616,4.875,0.7685,4.05e-07,2.353e-06,"BEAN","SC1B"
"56",5729,0.01098,0.09636,5675000,26630000,0.2308,13.08,3e-08,-4140000,-3450000,-0.01367,-0.0264,4.865,0.7689,3.926e-07,2.322e-06,"BEAN","SC1B"
"57",5860,0.01103,0.09508,5675000,26510000,0.2308,13.08,2.907e-08,-4140000,-3450000,-0.01381,-0.02665,4.854,0.7693,3.804e-07,2.292e-06,"BEAN","SC1B"
"58",5994,0.01107,0.0938,5675000,26390000,0.2308,13.08,2.817e-08,-4140000,-3450000,-0.01395,-0.0269,4.842,0.7698,3.685e-07,2.261e-06,"BEAN","SC1B"
"59",6131,0.01112,0.09253,5675000,26270000,0.2308,13.08,2.729e-08,-4140000,-3450000,-0.01409,-0.02715,4.831,0.7702,3.568e-07,2.231e-06,"BEAN","SC1B"
"60",6272,0.01116,0.09125,5675000,26150000,0.2308,13.07,2.643e-08,-4140000,-3450000,-0.01423,-0.02741,4.82,0.7706,3.454e-07,2.2e-06,"BEAN","SC1B"
"61",6417,0.01121,0.08998,5675000,26030000,0.2308,13.05,2.56e-08,-4140000,-3450000,-0.01438,-0.02766,4.808,0.771,3.342e-07,2.17e-06,"BEAN","SC1B"
"62",6566,0.01125,0.08872,5675000,25910000,0.2308,13.04,2.479e-08,-4140000,-3450000,-0.01452,-0.02792,4.797,0.7714,3.233e-07,2.14e-06,"BEAN","SC1B"
"63",6719,0.01129,0.08746,5675000,25780000,0.2308,13.02,2.401e-08,-4140000,-3450000,-0.01467,-0.02819,4.785,0.7719,3.125e-07,2.11e-06,"BEAN","SC1B"
"64",6875,0.01134,0.0862,5674000,25660000,0.2308,12.99,2.324e-08,-4140000,-3450000,-0.01482,-0.02845,4.774,0.7723,3.02e-07,2.08e-06,"BEAN","SC1B"
"65",7036,0.01138,0.08495,5674000,25540000,0.2308,12.97,2.25e-08,-4140000,-3450000,-0.01497,-0.02872,4.762,0.7727,2.917e-07,2.05e-06,"BEAN","SC1B"
"66",7202,0.01142,0.0837,5674000,25410000,0.2308,12.93,2.178e-08,-4140000,-3450000,-0.01512,-0.02899,4.75,0.7732,2.817e-07,2.02e-06,"BEAN","SC1B"
"67",7372,0.01147,0.08246,5674000,25280000,0.2308,12.9,2.107e-08,-4140000,-3450000,-0.01527,-0.02926,4.738,0.7736,2.718e-07,1.991e-06,"BEAN","SC1B"
"68",7546,0.01151,0.08122,5674000,25160000,0.2308,12.86,2.039e-08,-4140000,-3450000,-0.01543,-0.02953,4.726,0.7741,2.621e-07,1.962e-06,"BEAN","SC1B"
"69",7725,0.01155,0.07999,5674000,25030000,0.2308,12.81,1.972e-08,-4140000,-3450000,-0.01559,-0.02981,4.713,0.7745,2.527e-07,1.932e-06,"BEAN","SC1B"
"70",7910,0.01159,0.07876,5674000,24900000,0.2308,12.76,1.908e-08,-4140000,-3450000,-0.01574,-0.03009,4.701,0.775,2.435e-07,1.903e-06,"BEAN","SC1B"
"71",8099,0.01163,0.07754,5674000,24770000,0.2308,12.71,1.845e-08,-4140000,-3450000,-0.0159,-0.03037,4.689,0.7754,2.344e-07,1.874e-06,"BEAN","SC1B"
"72",8294,0.01167,0.07632,5674000,24640000,0.2308,12.65,1.784e-08,-4140000,-3450000,-0.01606,-0.03065,4.676,0.7759,2.256e-07,1.845e-06,"BEAN","SC1B"
"73",8494,0.01171,0.07511,5674000,24510000,0.2308,12.58,1.724e-08,-4140000,-3450000,-0.01623,-0.03094,4.663,0.7764,2.169e-07,1.817e-06,"BEAN","SC1B"
"74",8700,0.01175,0.07391,5674000,24380000,0.2308,12.51,1.666e-08,-4140000,-3450000,-0.01639,-0.03123,4.651,0.7769,2.085e-07,1.788e-06,"BEAN","SC1B"
"75",8912,0.01179,0.07271,5674000,24240000,0.2308,12.43,1.61e-08,-4140000,-3450000,-0.01656,-0.03152,4.638,0.7774,2.002e-07,1.76e-06,"BEAN","SC1B"
"76",9129,0.01183,0.07151,5673000,24110000,0.2308,12.35,1.555e-08,-4140000,-3450000,-0.01672,-0.03182,4.625,0.7778,1.921e-07,1.732e-06,"BEAN","SC1B"
"77",9353,0.01187,0.07033,5673000,23980000,0.2308,12.27,1.502e-08,-4140000,-3450000,-0.01689,-0.03212,4.612,0.7783,1.842e-07,1.704e-06,"BEAN","SC1B"
"78",9584,0.01191,0.06915,5673000,23840000,0.2308,12.17,1.45e-08,-4140000,-3450000,-0.01706,-0.03242,4.598,0.7788,1.765e-07,1.676e-06,"BEAN","SC1B"
"79",9821,0.01194,0.06797,5673000,23710000,0.2308,12.07,1.399e-08,-4140000,-3450000,-0.01723,-0.03272,4.585,0.7793,1.69e-07,1.648e-06,"BEAN","SC1B"
"80",10070,0.01198,0.06681,5673000,23570000,0.2308,11.97,1.35e-08,-4140000,-3450000,-0.01741,-0.03303,4.572,0.7799,1.616e-07,1.621e-06,"BEAN","SC1B"
"81",10320,0.01201,0.06565,5673000,23430000,0.2308,11.86,1.302e-08,-4140000,-3450000,-0.01758,-0.03334,4.558,0.7804,1.545e-07,1.594e-06,"BEAN","SC1B"
"82",10580,0.01205,0.0645,5673000,23290000,0.2308,11.74,1.256e-08,-4140000,-3450000,-0.01776,-0.03365,4.545,0.7809,1.475e-07,1.566e-06,"BEAN","SC1B"
"83",10840,0.01208,0.06335,5673000,23160000,0.2308,11.62,1.21e-08,-4140000,-3450000,-0.01794,-0.03397,4.531,0.7814,1.406e-07,1.54e-06,"BEAN","SC1B"
