"TIME","Z1","Z2","Z3","MD","FU","ESS","ES1","ES2","ES3","SP","DZ1","DZ2","DZ3","F2A","F2L","EFT","SEQ","SEQF","BIGD","DEBUG.FU","DEBUG.GAMMA","DEBUG.ES3"
"1",0,0,0,0,2.21389115379238e-05,6.67479364070218,3.31679340660408e-06,7.81533164807856e-10,1.58540045306614e-07,3.15747182813265e-06,5.43641955997617e-10,-1.46672224323693e-05,-9.40760921242202e-06,1.88221181313197e-05,-0.662492473875274,-0.424925055110281,0.329411050370783,5.5212912453667,40.1170379250496,1.89833828855782,-1,1,1
"2",481,-0.00550507294754486,-0.00317510136496675,0.00677397443579257,1.18007355815836e-05,7.88024119375733,1.49750944056536e-06,5.9543911154261e-10,1.23812987057915e-07,1.3731010143959e-06,4.31660796252524e-10,-8.76923966762972e-06,-4.45414669143691e-06,1.03032261410183e-05,-0.743082399183192,-0.377432723387002,0.283997487476709,5.679573916257,38.1816158388413,2.06450839769433,-1,1,1
"3",1000,-0.00897741622158783,-0.0049738142222035,0.0109316714666839,6.89174093008683e-06,9.2192745532302,7.47536141840156e-07,4.60592969795925e-10,9.80357182202488e-08,6.49039830650111e-07,3.69986708551168e-10,-5.0194886236824e-06,-2.66207560935052e-06,6.14420478824667e-06,-0.728294811891436,-0.386249676113499,0.246879698303943,5.67395067797486,36.4399632589364,2.22140697420965,-1,1,1
"4",1520,-0.0111116596200453,-0.00611291591260831,0.0135707308404998,4.60804529372857e-06,10.5018364624331,4.38784712579782e-07,3.72178231484399e-10,8.07668451996086e-08,3.57645689148689e-07,2.68251457958545e-10,-3.33486505776415e-06,-1.79236680217171e-06,4.16926058114879e-06,-0.723662794439731,-0.388942025015608,0.21978327914136,5.65258187713211,35.0548156327782,2.35163939525328,-1,1,1
"5",2080,-0.0127090906058415,-0.00697558044141906,0.01558314802045,3.37614715007291e-06,11.7375393857451,2.87636704688986e-07,3.10235614686033e-10,6.84480397085549e-08,2.18878429365745e-07,2.45112708618894e-10,-2.43153440480704e-06,-1.32004557647964e-06,3.08851044538393e-06,-0.720157557405342,-0.390963334157201,0.199008389883406,5.6469589052671,33.9135510314458,2.46286866429779,-1,1,1
"6",2720,-0.0141123027716885,-0.00773193287903255,0.0173660532439661,2.73526309225094e-06,12.7441533519899,2.14628858952317e-07,2.71152476436368e-10,6.05618490051704e-08,1.5379585747071e-07,2.27481243810505e-10,-1.98454592150161e-06,-1.06054657175309e-06,2.52063423329862e-06,-0.725480811643315,-0.387698858124078,0.184915898776758,5.64892125627644,33.0933618998817,2.54514200334302,-1,1,1
"7",3520,-0.0155313893715392,-0.0084951211949282,0.0191806676710353,2.19809374626471e-06,13.9894049075823,1.57125607614184e-07,2.32784334188723e-10,5.27184850187106e-08,1.04174338261285e-07,2.10312745999163e-10,-1.58484533728957e-06,-8.58141192108424e-07,2.04096813865053e-06,-0.720940004087872,-0.390365103767587,0.170150225846892,5.63976876701513,32.1879744346213,2.63836355376219,-1,1,1
"8",4520,-0.0169566409730264,-0.00927446240894182,0.0210311202615349,1.79456642791102e-06,15.3918393831038,1.16592070852882e-07,1.99090830561028e-10,4.573338881413e-08,7.06595912081908e-08,1.94165441391847e-10,-1.28136221853252e-06,-7.08015390823047e-07,1.67797435705814e-06,-0.713946040089434,-0.394490158434198,0.156240927056715,5.63916785382277,31.2858342522583,2.73389618654103,-1,1,1
"9",5720,-0.018344508293303,-0.0100474614271085,0.0228617512248055,1.47500218847208e-06,17.0633507588748,8.64427045611141e-08,1.68180526564578e-10,3.92300847825667e-08,4.70444392519827e-08,1.78997576585364e-10,-1.04489611080411e-06,-5.86797676549653e-07,1.38855948391096e-06,-0.708317134658499,-0.397780070746033,0.142503760533469,5.64073989582572,30.3406522474015,2.83698822464988,-1,1,1
"10",7080,-0.0196629843022721,-0.0107701842089144,0.0245988221258031,1.242082832025e-06,18.8867395979668,6.5764809515281e-08,1.42434108420138e-10,3.37301051734854e-08,3.18922702333754e-08,1.65565805877281e-10,-9.01324862523669e-07,-4.81164478283584e-07,1.17631802250972e-06,-0.725559287576861,-0.387333547077829,0.130156359947862,5.66270739893221,29.4377493074159,2.93851318552054,-1,1,1
"11",8600,-0.0209226440241523,-0.0114476258812717,0.026253191156744,1.05860800356224e-06,21.0062695778702,5.0394859479356e-08,1.19678439278664e-10,2.87933478548564e-08,2.14818331852209e-08,1.53307562045897e-10,-7.62524674896642e-07,-4.134425764542e-07,1.00821314408289e-06,-0.720204513410983,-0.390496490672831,0.118366845977749,5.65132384963269,28.520655067516,3.04487281781943,-1,1,1
"12",10360,-0.02216381441299,-0.0121259897327224,0.027904866976447,9.14058753594645e-07,23.4567324329809,3.89678637553733e-08,9.99059521147896e-11,2.44341432124102e-08,1.44338145908483e-08,1.41820635831213e-10,-6.5327447224166e-07,-3.60019689846673e-07,8.75090889839272e-07,-0.714585497598873,-0.393808207952306,0.107263767292416,5.63931562533294,27.5994537422736,3.15520903565882,-1,1,1
"13",12400,-0.023410769824817,-0.0128153258646904,0.0295816069883738,8.03559824864044e-07,26.1540687230241,3.07240847829022e-08,8.36035860887699e-11,2.07808818255148e-08,9.85959937129869e-09,1.31180195015328e-10,-5.72526154723879e-07,-3.17509859966409e-07,7.72835740081142e-07,-0.71237098725748,-0.395064593192849,0.0973314426766887,5.63665343035091,26.719840292016,3.2640566067649,-1,1,1
"14",14560,-0.0245805067022082,-0.0134732035967209,0.0311741215673284,7.30377160354945e-07,28.586583597189,2.55496484171255e-08,7.22791361335546e-11,1.82053302145893e-08,7.27203906640265e-09,1.22348222108695e-10,-5.12934233884869e-07,-2.93008814508921e-07,7.04827511937819e-07,-0.702169170358537,-0.401107476553509,0.0899029439894003,5.65476112516802,26.0220061749001,3.35299007828185,-1,1,1
